Title,Summary
"Box Kite","At night, this speck of a coffee shop serves an 8-to-10-course tasting menu at a counter with creaky swivel chairs."
"Xixa","At Xixa, which opened in December in South Williamsburg, Mexico is merely a starting point for a kind of culinary free association that can be borderline loco or brilliant, sometimes both at once."
"Henry Public","A Cobble Hill pub that honors the borough’s illustrious past, with ephemera, drink names, and a &quot;bill of fare&quot; that evokes the Brooklyn of Walt Whitman."
"Caravaggio","Caravaggio is defiantly elegant in an age that sees white tablecloths as a medieval relic, and the plates are just as carefully put together."
"Aquavit","Aquavit's kitchen is soaring, with Emma Bengtsson, the chef, cooking modern Scandinavian cuisine without aping the fashionable Nordic tropes."
"Osteria Morini","A casual if riotously loud SoHo restaurant dedicated to the food and drink of Emilia-Romagna, in the north of Italy."
"Wolfgang's Steakhouse","In a battle of steakhouses, Peter Luger wins over Wolfgang's, which is partly run by a former Luger head waiter — but not by much."
"Rosa Mexicano","The decor is vibrant and the food is dull at Rosa Mexicano's Union Square location."
"Paowalla","Reaching into his back catalog, the chef Floyd Cardoz is serving some dishes and even a couple of cocktails, like the mind-clearing cucumber-gin highball called the Kachumber Cooler, that are flashbacks to the much-missed Tabla and Bread Bar."
"Murray’s Cheese Bar","Murray’s Cheese Bar stands a few doors down from its mothership, the venerable and encyclopedic Murray’s Cheese Shop, and its titular attraction comes in two forms, the perennial dichotomy of raw and cooked."
"Txikito","The talented chef Alexandra Raij focuses here on the Basque region of Spain, and the best of the food is terrific."
"Salumeria Rosi","Never mind that the neighborhood already has Fairway and Zabar’s, Cesare Casella is counting on his own edited selection of cheeses and cured meats at a retail counter to tempt those who may have nibbled them in the 35-seat cafe and Italian wine bar appended to the shop."
"Bouchon Bakery","Is Bouchon Bakery good for the Time Warner Center, an exceptional bakery and a viable choice for lunch in the neighborhood? Yes. But it is just that."
"Asian Spicy Curry","Yip Khuan Thye, a native of Kuala Lumpur, Malaysia, takes over the kitchen of Mama Eatery in Chinatown; the curries on the nocturnal pop-up menu are priced at $6 or $7, each a small world."
"Gotham Bar and Grill","Gotham has an informality of service that is purely American, despite the starched white tablecloths."
"The Redhead","The Redhead is a sign of these times, when distinctive food can be found in unlikely settings and when its East Village neighborhood has become a real culinary center of gravity."
"Desmond's","A society-crowded restaurant that serves mostly well-prepared haute nursery food with a vague Continental accent."
"Kopitiam","This tiny counter spot, with four stools, is a loving homage to the Malaysian kopitiam, or coffee shop, where the chef Kyo Pang, hopes to keep alive the Baba-Nyonya art of snacks, passed down by descendants of Chinese settlers along the Straits of Malacca."
"Bacaro","So-so Italianate dishes and expensive wine on the Lower East Side."
"Very Fresh Noodles","“Biang biang” is both the name of the noodles stretched to order at this cramped corner stall in Chelsea Market — straps of dough as wide as a belt, drawn out to the wingspan of their maker — and the sound of them snapping against the counter."
"Momofuku Nishi","David Chang’s alleged foray into Italian flavors takes place in an unpleasantly loud and uncomfortable room."
"Les Halles","You can hardly do better than this butcher shop and restaurant named for the old Paris market district."
"Alta","Alta is just about the smartest small-plate restaurant in New York, full of natural, unforced pleasures."
"Oriental Garden","The best dishes validate the estimation of many Chinese-Americans and food fans who consider this Chinatown's best seafood restaurant."
"Langos Truck","If you are Hungarian, this is the taste of summer: langos (pronounced LAHN-gauche), a rough disc of fried flatbread, cracker-crisp along the circumference and chewier toward the center, where it approaches gooeyness. At the Langos Truck, Zsolt Prepuk, a native of Budapest, also serves sandwiches of Mangalitsa pork sausages, in honor of the woolly Hungarian pigs bred to feed Hapsburg emperors, whose lushly marbled meat is likened to Kobe beef."
"Mamajuana Cafe","At Mamajuana Cafe, familiar Caribbean cooking gets an Inwood polish."
"Cercle Rouge","David Féau, who was the last chef at Lutèce, will open his own boutique restaurant with a raw bar and a French bistro menu."
"Fishtag","A strange and frustrating if occasionally marvelous restaurant from the chef Michael Psilakis."
"The Food Sermon","A theology-school dropout who found salvation in the kitchen, Rawlston Williams, the chef at the Food Sermon, has a particular gift for meat, achieving tenderness without surrendering flavor."
"Trattoria dell'Arte","The antipasto is superb, the rest of the northern Italian food is reliably good, the service is professional and the place is always lively."
"Rye","At Rye, which combines winning bistro classics with comforting finger food, the chef Cal Elliott shows that he has lessons to learn as a restaurateur."
"Kiki’s","Kiki's menu is littered with words like “classic,” “uncomplicated” and “childhood,” all to the good, and it is the kind of place where fresh carafes of water are plonked on the table even after the bill has been settled and you’re allowed — invited — to idle."
"Noreetuh","With prime ingredients, carefully organized plates and nonviolent prices, Noreetuh tries to tidy up Hawaiian dishes like garlic shrimp and tuna poke for their introduction to New York."
"Del Posto","A place to sit in luxury and drink Barolo, while eating food that bewilders and thrills."
"Diner","Diner was doing the Brooklyn tropes before they were Brooklyn tropes. And it still does them with charm and skill."
"Flip","New York's most comprehensive hamburger restaurant is in the basement of Bloomingdale's."
"Olmsted","Not much about the dining room sets Olmsted apart from any number of other new places to eat. But the quail coop and crayfish tub in the backyard, and the thoughtful, inventive food coming out of the tiny kitchen, tell you that hidden inside this simple and affordable neighborhood restaurant is another, more unusual one waiting to get out."
"OatMeals","If the quaint, wholesome scene is expected at OatMeals, the 30-odd variations of oatmeal are not, including bowls — sized in Baby Bear, Mama Bear and Papa Bear, of course — topped with the likes of bacon, truffle oil, coconut milk, sriracha and Gruyère."
"Pachas","The Colombian menu is what sparkles at this hybrid Colombian-Venezuelan restaurant."
"Jean-Georges","A radical reimagining of the grand style of French dining when it opened in 1997, Jean-Georges can still surprise even in its comfortable middle age."
"Radegast Hall and Biergarten","The chief draws at this beer hall in Williamsburg are its size and conviviality."
"P.J. Clarke's on the Hudson","P.J. Clarke's on the Hudson is better than snobs would like to think and worse than contrarians would hasten to claim."
"Hummus Kitchen","At this lounge-y Levantine spot, the hummus has body and a pronounced nuttiness, whether paired with chickpeas, fava beans, juicy eggplant or wild mushrooms."
"Benoit","After a shaky beginning, Alain Ducasse’s Benoit has become the most perfect fake bistro in New York."
"Buvette","Chef Jody Williams has poured decades of experience into this all-day West Village spot, where delicious is in the details."
"Lorenzo and Maria's Kitchen","Perfectly styled and glossy, this food is ready for its close-up."
"Emporium Brasil","A Brazilian restaurant in midtown."
"Knave","At Le Parker Meridien, one of the most ceremonious settings in New York for a cup of coffee."
"The Little Owl","The kitchen's care, the servers' enthusiasm and the enormous windows onto an archetypal West Village corner give the Little Owl a charm that eclipses its shortcomings."
"Raclette","At this tiny storefront, the melting surface of great half-wheels of raclette cheese is scraped down tableside over a plate of cornichons, pickled pearl onions, roasted potatoes and thin, purplish-red slices of air-dried beef. It is deeply satisfying to watch the cascade of cheese and to dig out the vegetables and meat below, as if eating fondue in reverse."
